document_id,paragraph_id,raw_text,metric_name,current_value,previous_value,stated_change_value,calculated_change_pct,difference_pct_points,original_consistency_status,audit_label,likely_reason,needs_manual_review,recommended_numeric_checker_fix
MDA_3689_FN_2022,[MDA_P040],Fraser & Neave Holdings Bhd Annual Report Key Initiatives Achievements STRATEGIC OBJECTIVE 1: ENHANCE REVENUE Grow manufacturing capacity • Invested RM128 million in a new liquid milk and plant-based beverage manufacturing facility in Wang Muang. Product re-engineering • Introduced six new products:,segment revenue,132.0,1.0,0,132.0,132.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_3689_FN_2022,[MDA_P045],"• TEAPOT maintained the leadership position in Flavoured SCM Segment. • Maintained sales volume and increase brand awareness. • Hawker base increased by 32.5 per cent from 40,000 to 53,000. • Total customer network in Thailand, Laos and Cambodia grew by 7% to over 170,000. PROSPECTS Although costs i",segment revenue,40032.5,53000.0,0,40032.5,40032.5,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_3689_FN_2022,[MDA_P063],"Management Discussion & Analysis A key event for Malaysia’s No. 1 isotonic drink was World Hydration Day (Hari Hidrasi Sedunia 100PLUS), a first for the country in which Malaysians were reminded of the importance of being active and staying hydrated. 100PLUS organised a four-day fun-filled carnival ",segment revenue,201.0,100000.0,0,201.0,201.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2020,[MDA_P001],"Financial Review 4,190,690 1,420,933 4,683,776 1,271,628 The Group achieved total revenue of RM4.19 billion, 11% lower than FY2019. This was mainly attributable to lower revenue from the Film exhibition and distribution segment. Group pre-tax profit was higher by 12% to RM1.42 billion for FY2020 (FY",segment revenue,11571217.0,2019.0,0,11571217.0,11571217.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2020,[MDA_P003],"Segment revenue (RM’000) Segment (loss)/profit (RM’000) 114,255 556,127 (135,598) 66,838 Segment revenue and profit was at RM67 million (FY2019: RM65 million) and RM4 million (FY2019: RM14 million) respectively. The lower segment profit was mainly due to lower rental income and the absence of a one-",segment revenue,1055492.7,1340.0,0,1055492.7,1055492.7,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2020,[MDA_P004],"24,883,658 1,337,213 16.04 23,579,757 1,448,966 15.07 (RM’000) Group cash and cash equivalents Group cash and cash equivalents remained strong at Group bank borrowings Group bank borrowings increased by RM120 million to RM481 million as at 31 December 2020. About 94% of the Group’s bank borrowings w",segment revenue,51252791.11,2020.0,0,51252791.11,51252791.11,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2021,[MDA_P004],"GRAINS AND AGRIBUSINESS SEGMENT The Grains and Agribusiness segment is the largest contributor to Group revenue. This segment comprises Flour Milling, Feed Milling, Corn Trading and Livestock Farming, contributing 78% of the Group’s revenue and 4% of profit in FY2021. FFM Berhad (“FFM”) Group, an 80",segment revenue,28511.0,67200.0,0,28511.0,28511.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2021,[MDA_P016],"In September 2021, GSC completed the acquisition of 18 cinema assets from MCAT Box Office Sdn Bhd (“MBO”) and Reel Entertainment Holdings Sdn Bhd, increasing its market share to more than 50%. In December, we also celebrated the first Happy Food Co outlet launch in GSC Southkey, Johor Bahru. Happy F",segment revenue,4061.0,50.0,0,4061.0,4061.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2021,[MDA_P018],"ENVIRONMENTAL ENGINEERING AND UTILITIES SEGMENT PROPERTY SEGMENT Chemquest Sdn Bhd (“CQ”) Group is a leading provider of innovative solutions, advanced technologies and professional management for the water and sewage industries. In 2021, the CQ Group’s utilities and environmental engineering, and w",segment revenue,8172.0,2021.0,0,8172.0,8172.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2021,[MDA_P023],"GROUP FINANCIAL PERFORMANCE The Group achieved total revenue of RM4.86 billion, 16% higher than FY2020, as all core segments recorded higher revenue. The Group achieved a 5% increase in pre-tax profit to RM1.50 billion. Our main business, Grains and Agribusiness, recorded a decrease in profit by 77%",segment revenue,10055.0,1500.0,0,10055.0,10055.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2021,[MDA_P026],MANAGING DIRECTOR’S REVIEW Property Group Financial Position Group Cash and Cash Equivalents Group Bank Borrowings Group Capital Expenditure Segment revenue and profit were higher at RM115 million (FY2020: RM67 million) and RM15 million (FY2020: RM4 million) respectively. The improvement in profit w,segment revenue,33693.0,2220.0,0,33693.0,33693.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2021,[MDA_P027],"81% or RM890 million are foreign currency-denominated working capital loans for the foreign operations of the Grains and Agribusiness segment; these were mainly in United States Dollars, Indonesian Rupiah and Vietnamese Dong. The Group incurred total capital expenditure of RM218 million in the finan",segment revenue,3160.0,115030.0,0,3160.0,3160.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2022,[MDA_P010],"This segment recorded higher earnings despite increasing raw material, logistics and labour costs, and weaker exchange rates. FILM EXHIBITION AND DISTRIBUTION SEGMENT Golden Screen Cinemas Sdn Bhd is the leading cinema exhibitor in Malaysia. As at 31 December 2022, we operate 52 cinemas with 491 scr",segment revenue,2615.0,111.0,0,2615.0,2615.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2022,[MDA_P016],"We will explore new and innovative products in light of changing lifestyles in a post-pandemic market. As for the retail property segment, the retail and food & beverage sectors are expected to continue its recovery in 2023, which will provide opportunities and incentives for malls to improve occupa",segment revenue,18558514.6,6260.0,0,18558514.6,18558514.6,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2022,[MDA_P019],"Property RM’000 RM’000 Segment revenue 140,959 114,267 Segment profit 34,909 14,825 Segment revenue and profit was higher at RM141 million (FY2021: RM114 million) and RM35 million (FY2021: RM15 million) respectively. The higher profit was mainly attributable to new sales and progressive profit recog",segment revenue,111513491.33,2360.0,0,111513491.33,111513491.33,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_4065_PPB_2022,[MDA_P020],"The increase was mainly due to an increase in borrowing by RM245 million to RM1.35 billion, partially offset by a decrease in trade payables by RM101 million to RM225 million. Net assets per share stood at RM18.16 as at 31 December 2022. Group Cash and Cash Equivalents Group cash and cash equivalent",segment revenue,15812.16,167.0,0,15812.16,15812.16,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
